run_id,best_metric,best_eval_step,last_step,num_eval_points
R1,0.7331435680389404,750,1950,13
R2,0.7338459491729736,960,1920,16
R3,0.7342121601104736,720,1680,14
R4,0.7328393459320068,720,1680,14
R5,0.7334766387939453,840,1800,15
R6,0.7335999011993408,720,2160,18
R7,0.7329535484313965,480,1920,16
R8,0.7340078949928284,840,2280,19
R9,0.7335150241851807,840,2280,19
R10,0.7335301041603088,480,1920,16
R11,0.7333693504333496,720,2160,18
R12,0.733607828617096,600,2040,17
R13,0.7335746884346008,720,2160,18
