Organization,Repository name,Code language,Relevance
volvo-cars,gatling-report,Java,0
volvo-cars,spinnaker-halyard,Java,0
volvo-cars,function_dispatcher,C++,1
volvo-cars,terraform-vault-backend,Python,0
volvo-cars,remoteperf,Python,1
volvo-cars,coppercomm,Python,0
volvo-cars,Reviewcheck,Python,0
volvo-cars,FB-SSEM-dataset,Python,1
volvo-cars,eene-nav-bandit-sim,Python,1
volvo-cars,docker-airflow,Python,0
COVESA,aosp_device_covesa_emulator,Java,1
COVESA,android-vss-authentication-service,Java,1
COVESA,android-vehicleplugin-vss-graphql,Java,1
COVESA,vss-tools,Python,1
COVESA,s2dm,Python,1
COVESA,ifex,Python,1
COVESA,commercial-vehicles,Python,1
COVESA,vsomeip_py,Python,1
COVESA,akm,Python,1
COVESA,vss2graphql_schema,Python,1
COVESA,graphql_schema2cpp_codegen,Python,1
COVESA,vehicle_signal_manager,Python,1
COVESA,vsomeip,C++,1
COVESA,dlt-viewer,C++,1
COVESA,cdsp,C++,1
COVESA,capicxx-dbus-tools,C++,1
COVESA,capicxx-core-tools,C++,1
COVESA,capicxx-someip-runtime,C++,1
COVESA,capicxx-core-runtime,C++,1
COVESA,capicxx-dbus-runtime,C++,1
COVESA,graphql-vss-server-libs,C++,1
COVESA,graphql-vss-data-server,C++,1
COVESA,test-someip-service,C++,1
COVESA,aasig-vhal-demo,C++,1
COVESA,ramses-citymodel-demo,C++,1
COVESA,franca_ara_integration,C++,1
COVESA,capicxx-wamp-tools,C++,1
COVESA,capicxx-wamp-runtime,C++,1
COVESA,dlt-daemon,C,1
COVESA,Open1722,C,1
COVESA,wayland-ivi-extension,C,1
COVESA,android-external-audio-mixing,C,1
COVESA,vehicle_signal_interface,C,1
mercedes-benz,openssl,C,0
mercedes-benz,ardep,C,1
mercedes-benz,roadC,C,1
mercedes-benz,valhalla,C++,1
mercedes-benz,dlt-daemon,C++,0
mercedes-benz,DnA,Java,0
mercedes-benz,sechub,Java,0
mercedes-benz,micronaut-redis,Java,0
mercedes-benz,pinot,Java,0
mercedes-benz,sechub-plugin-eclipse,Java,0
mercedes-benz,EclipseDataSpaceConnector,Java,1
mercedes-benz,sechub-plugin-intellij,Java,0
mercedes-benz,zap-extensions,Java,0
mercedes-benz,eclipse-tractusx_tractusx-edc-merge,Java,1
mercedes-benz,spotbugs,Java,0
mercedes-benz,zaproxy,Java,0
mercedes-benz,micronaut-cache,Java,0
mercedes-benz,ShedLock,Java,0
mercedes-benz,odxtools,Python,1
mercedes-benz,automotive_regression_xai,Python,1
mercedes-benz,automotive_feature_engineering,Python,1
mercedes-benz,mf4_ai_importer,Python,1
mercedes-benz,wenum,Python,0
mercedes-benz,neural_representation_of_differentiable_trees,Python,0
mercedes-benz,bd_export_spdx2.2,Python,0
mercedes-benz,kafka-integration-samples,Python,0
mercedes-benz,OSCI,Python,0
mercedes-benz,rules_pyvenv,Python,0
mercedes-benz,selfsupervised_flow,Python,1
mercedes-benz,bandit,Python,0
mercedes-benz,jira,Python,0
mercedes-benz,open-simulation-interface,Python,1
mercedes-benz,blackbricks,Python,0
mercedes-benz,leaderboard,Python,1
mercedes-benz,GreenCodeEvaluator,Python,0
mercedes-benz,netbox-docker,Python,0
mercedes-benz,netbox,Python,0
bmwcarit,ramses-logic,C++,1
bmwcarit,ramses-composer,C++,1
bmwcarit,ramses,C++,1
bmwcarit,MoCOCrW,C++,1
bmwcarit,ANGLE,C++,0
bmwcarit,wscpp,C++,1
bmwcarit,smrf,C++,1
bmwcarit,ros_realtime_tests,C++,1
bmwcarit,muesli,C++,1
bmwcarit,ros_chatter,C++,1
bmwcarit,capu,C++,1
bmwcarit,dlt-viewer,C++,0
bmwcarit,pcl-people-tracker-timing-test,C++,1
bmwcarit,ignored_oneshot_timer,C++,0
bmwcarit,stuck_at_shutdown,C++,0
bmwcarit,lua,C,1
bmwcarit,cgroup-tests,C,0
bmwcarit,joynr,Java,1
bmwcarit,docker-java,Java,0
bmwcarit,barefoot,Java,1
bmwcarit,paho.mqtt.java,Java,1
bmwcarit,jeromq,Java,1
bmwcarit,ramses-android,Java,1
bmwcarit,bazel,Java,0
bmwcarit,hmm-lib,Java,1
bmwcarit,offline-map-matching,Java,1
bmwcarit,acme,Java,1
bmwcarit,Emma,Python,1
bmwcarit,python-dlt,Python,1
bmwcarit,dltlyse,Python,1
bmwcarit,zubbi,Python,0
bmwcarit,nose3,Python,0
bmwcarit,pyrate,Python,0
bmwcarit,pybip,Python,1
bmwcarit,spdx-tools-python,Python,0
bmwcarit,GitPython,Python,0
bmwcarit,pypbap,Python,1
bmwcarit,devana,Python,0
bmwcarit,stracepy,Python,1
bmwcarit,meta-abicompat,Python,0
bmwcarit,meta-abicompat-poky,Python,0
renault,cananalyze,Python,1
